"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79"
"11",22.8659,24.7095,26.9079,16.6884,NA,NA,NA,30.9936,NA,30.041,16.6704,5.79877,9.75602,1.79458,21.5377,29.5421,3.47401,12.4246,21.8239,15.2173,28.5423,16.1369,3.29163,NA,88.0016,46.0512,61.0842,7.99523,NA,29.1934,11.7247,44.3303,19.152,4.93279,13.4672,NA,43.2414,4.29362,72.0404,14.3997,8.11192,10.2036,84.2584,75.5794,34.0016,11.9458,48.2818,77.1744,49.5391,14.3997,NA,71.8579,52.8969,3.42049,42.0594,5.281175,13.1795,14.5126,86.9923,12.1152,16.3862,1.08337,62.6087,25.8579,7.71695,25.2403,85.7862,54.2566,39.0109,19.5743,64.7295,58.4943,23.2694,87.8454,57.3272,66.521,76.6901,18.8549,6.43351
"12",26.5788,23.5965,25.9885,10.7536,NA,NA,NA,20.7604,NA,29.3727,12.6484,6.30868,24.2843,1.65042,22.7866,29.5693,5.34171,13.0288,26.5811,18.5792,28.7518,21.94,7.98732,NA,82.1499,54.7572,54.3556,8.53563,NA,24.1661,9.55725,17.0002,15.4728,5.61117,15.0561,NA,44.5319,28.2239,72.4888,15.9392,11.1743,3.25061,17.6649,78.3418,30.214,6.98532,31.1751,81.8087,40.7724,10.6065,12.451,63.3382,54.7,4.54043,28.87925,10.7162,13.1497,20.0787,87.7177,13.1307,14.6975,1.20764,85.1238,30.4152,8.15054,26.6075,96.5838,39.1545,43.7576,22.81,79.1835,60.6022,23.7501,97.5577,73.1347,85.2716,55.4537,21.05,NA
"13",10.9148,23.4785,29.4688,26.3149,NA,NA,NA,28.3808,NA,27.3224,19.6093,11.7658,21.6188,1.86976,8.66651,29.2363,5.70893,14.1019,30.0884,20.7956,21.6277,21.2296,4.80166,NA,88.9377,67.5336,55.6477,5.06511,NA,12.776,8.39528,46.757,16.9464,7.57523,13.9143,NA,44.0289,32.2515,29.8972,38.6514,14.8524,4.9009,24.5962,84.4325,48.8375,14.7663,17.0909,90.8022,48.2286,14.45,12.6241,72.8089,62.7458,5.70902,60.30745,12.98845,13.7216,NA,88.514,13.4593,14.2065,1.53265,87.3148,26.9133,5.55167,24.5138,92.2975,25.9153,52.3383,18.2006,77.4367,72.5583,23.438,93.2107,31.1161,20.7949,57.3004,20.4598,67.656
"14",16.9321,23.1038,29.844,24.235,NA,NA,NA,25.5811,NA,28.3991,16.2486,10.006,22.384,1.26806,19.0362,26.7551,5.32029,11.4096,17.5662,16.9179,26.9984,21.4066,5.30691,NA,57.7566,42.2753,19.0937,8.99215,NA,9.67902,9.45337,35.2041,12.736,3.88367,10.9339,NA,32.6167,16.0677,32.6019,39.9657,13.916,3.00597,15.7911,25.8747,20.0995,10.3599,14.2687,74.305,41.8006,28.9903,9.87827,20.7047,25.8575,NA,15.4806,11.2632,17.0427,NA,94.5928,12.5058,14.8473,NA,27.5955,23.134,6.35587,23.136,90.9719,18.8232,49.9458,13.2021,80.0405,66.4918,21.7118,82.6158,61.215,20.0031,12.2161,19.0075,80.7744
"15",14.3972,22.879,27.9842,26.9337,NA,NA,NA,21.4373,NA,30.5422,19.0112,5.08134,27.5286,1.2507,23.0519,24.1552,5.77398,11.0203,17.1427,20.0835,26.1648,20.4856,2.14609,NA,75.9611,48.7868,60.8667,9.67471,NA,14.0346,9.9621,13.6016,14.2708,4.92089,12.8311,NA,38.697,19.1776,22.4156,48.2471,13.1884,3.29922,18.2092,66.4599,31.2407,7.94507,7.53523,85.2693,43.5426,26.937,9.27774,76.2875,60.3048,1.16897,13.100085,7.38414,13.9665,18.3034,95.0127,17.4049,15.5969,4.82986,51.1107,22.6427,7.5061,20.5005,83.9232,9.0774,49.7048,20.4524,25.1192,63.8548,21.8294,107.334,71.8753,21.0183,57.5496,21.7332,82.0705
"16",12.0604,22.3486,25.884,31.6635,NA,NA,NA,32.2438,NA,27.6466,19.4896,9.90883,26.8386,2.29456,25.9793,27.9271,3.82113,12.9635,25.2842,22.179,30.0351,23.0458,6.32746,NA,88.459,19.9222,59.5638,8.85569,NA,13.536,10.5464,20.6867,18.3379,7.67414,10.0802,NA,59.5503,31.4154,42.9512,24.1443,11.6557,5.87296,19.736,21.3224,49.0155,17.8883,7.40999,91.6856,42.6835,23.5107,13.3642,60.414,71.2547,5.2057,23.6558,10.86392,16.7095,61.151,91.1035,12.6773,17.1497,3.50089,30.3103,21.6282,8.74399,23.7328,95.8585,20.5801,25.3967,18.9519,60.9229,57.5745,24.2002,91.8172,63.7685,20.3789,20.7235,22.0167,64.105
"17",21.5209,24.6817,27.6133,29.2872,NA,NA,NA,24.4757,NA,27.4244,17.8926,3.21413,15.4405,1.72356,24.2789,27.957,3.06059,11.1566,14.7208,17.2812,25.4735,23.9571,5.68987,NA,46.0384,32.4028,62.9421,7.10199,NA,11.9277,7.63569,33.8422,10.9733,4.57703,8.38347,NA,46.1672,19.0191,40.7027,26.563,11.0015,4.00412,10.4482,56.785,39.6582,30.4658,4.50085,83.8331,40.8839,31.5915,12.2701,72.8511,59.0341,4.28707,19.3946,4.57001,15.9331,NA,95.5791,10.5204,11.2337,1.23684,59.4816,20.0689,11.6324,25.7392,81.3818,21.3435,50.0941,18.1896,60.3146,62.8742,12.8386,95.3659,65.1278,23.0201,20.9762,21.504,59.594
"18",24.6384,22.6078,24.4005,31.8132,NA,NA,NA,26.0568,NA,27.4842,18.4721,6.63443,22.5587,2.12238,23.716,26.8243,5.14802,11.8711,22.3767,15.6252,28.9269,22.8859,7.41608,22.8529,78.6911,43.2734,63.2193,10.7712,NA,13.3072,11.0845,19.0815,15.7138,4.9141,9.52381,NA,47.165,24.1675,37.7138,37.595,9.8767,2.96535,25.4791,64.9038,49.0746,33.5932,6.64987,86.6906,56.6592,45.9801,14.2334,62.9791,61.8147,5.25931,21.5243,6.10812,17.6222,NA,82.6985,12.5266,13.3795,1.04506,86.8195,23.4403,10.0323,27.0278,82.8846,14.5931,53.9339,22.3508,60.1335,66.3476,24.1542,99.5893,73.0489,24.9372,27.4582,21.7914,80.4829
"19",28.8134,23.4467,27.409,31.7688,NA,NA,NA,26.2748,NA,27.8321,16.6563,11.2966,21.0807,2.61161,25.3823,27.3097,5.63891,17.0745,24.9076,17.8602,27.5049,23.9272,5.66288,11.1357,72.3674,52.4846,60.1501,10.8313,NA,14.2781,11.5851,19.2029,23.0138,5.97144,12.218,NA,67.4471,31.3482,40.9967,28.5829,12.9051,7.04879,25.0354,60.3814,60.3497,42.8052,6.14245,86.8356,73.1906,15.4158,17.5915,61.4466,68.7457,5.95149,21.93605,6.166275,18.3055,NA,86.1103,11.8393,14.826,1.15054,83.6808,15.2565,9.44194,27.7845,88.2212,9.46925,59.186,14.4117,80.7422,70.403,23.6589,102.928,80.661,23.0574,30.3992,21.3991,82.8663
"20",23.0479,22.2777,20.4749,24.6585,NA,NA,NA,27.4268,NA,31.8024,18.416,21.5856,15.5444,2.1894,5.19117,30.0622,5.48873,11.4477,19.8739,14.0286,27.2127,31.1585,4.4275,8.35427,15.3946,47.1421,56.5387,4.93674,NA,7.75875,3.13548,7.60134,14.1112,4.1772,5.89416,NA,54.9224,14.0333,35.4643,23.6352,9.21072,11.2075,7.25735,75.4467,25.9644,34.9026,6.1273,72.5636,7.49257,45.7227,8.7319,24.2674,53.4728,4.3418,11.50825,25.86865,6.20729,NA,87.5515,14.6069,16.2839,1.37531,81.7446,16.0223,9.28294,25.095,89.027,31.9722,52.9672,11.1669,20.5172,72.1591,22.1006,22.3823,86.8012,18.6616,25.4577,20.9403,80.6801
