"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"11",17.1926,20.8869,7.76,23.6012,NA,NA,NA,21.3507,NA,1.67969,1.32701,25.7284,8.66786,19.9763,11.8332,21.2829,8.89757,NA,19.9314,9.76618,3.84369,14.3145,3.72375,7.57437,NA,4.99242,62.7615,14.9897,11.2352,NA,21.5304,11.3672,15.0805,26.833,7.52979,6.2682,NA,28.2934,6.26595,19.2838,9.45357,13.6862,9.19157,23.2957,12.7098,13.4731,33.482,4.03022,38.3358,9.02635,38.2091,10.4462,79.9315,9.58095,1.7447,12.4512,10.3525,44.1237,9.07955,36.4898,22.0664,46.8845,12.6153,14.2199,29.221,22.0223,9.92963,47.892,NA,35.9555,13.1534,52.1957,8.24855,17.2554,70.4738,15.4729,33.225,19.2126,25.015,28.4222
"12",19.8966,32.8324,5.63818,23.8594,NA,NA,NA,26.6143,NA,16.901,25.5239,19.1875,5.88443,20.3869,19.4125,22.4982,8.153,19.6013,21.3235,8.42703,3.51987,12.7514,4.73882,8.13023,NA,5.57758,80.3155,21.249,10.7671,NA,7.13826,8.58461,15.2162,7.45607,11.2673,7.42627,NA,24.5455,8.08837,17.404,10.2529,10.874,10.647,22.5948,13.5228,15.3759,31.6538,4.79035,27.025,10.0747,32.3562,9.87379,79.2884,9.70376,1.3802,12.73025,5.60709,35.463,6.78713,37.4379,23.9084,40.9389,14.1861,17.1519,37.1903,19.1106,21.0555,NA,NA,39.026,11.6596,47.0513,4.82246,10.7839,42.2277,9.79169,29.2034,20.5498,22.314,35.7264
"13",28.7045,31.9983,9.77582,29.9849,NA,NA,NA,13.5143,NA,6.51711,13.5446,2.83159,8.68493,17.379,31.1877,27.4394,7.58955,30.6663,21.5593,9.46215,3.70913,16.9,4.95231,12.1272,NA,18.9589,109.591,26.9136,13.1614,NA,33.5038,19.3789,24.9639,34.2672,14.5282,10.1371,NA,29.901,10.9382,13.3522,12.9271,21.1588,11.1605,25.7924,14.8158,22.453,40.5261,11.6401,38.7328,11.75,42.0479,11.079,80.8864,14.277,2.60562,22.19455,15.315,NA,12.4722,35.9234,25.604,73.7562,37.9479,19.3968,13.1614,23.1162,20.3681,3.55153,NA,46.7631,15.2903,64.2501,8.98288,82.8665,84.1426,13.9961,15.2658,25.4941,27.4909,35.4459
"14",22.0811,27.6607,5.16357,1.5749,NA,NA,NA,21.0363,NA,5.37259,19.0984,24.1457,7.75589,19.7099,12.467,18.417,7.9761,11.4757,24.8172,9.36559,1.49893,10.5261,4.36079,9.1395,NA,4.95218,122.802,21.6332,8.21311,NA,17.3749,9.42692,5.85457,20.2854,7.24535,10.2183,NA,34.9655,8.8048,18.3672,10.9906,19.8817,12.0523,22.4542,13.4393,7.78382,42.2881,2.52439,29.8363,3.43791,33.5819,7.55658,58.0867,7.37491,1.18793,20.524,12.2432,NA,6.05808,43.0668,19.6216,57.0849,16.3576,13.8872,30.1681,21.4772,15.51,3.14494,NA,44.4943,8.5268,30.0284,7.80709,11.0398,76.3142,13.169,10.3357,18.0498,13.9443,28.8656
"15",20.7867,21.6595,9.0466,2.20086,NA,NA,NA,19.4784,NA,10.0113,1.64449,31.8909,6.65178,19.5961,25.0824,23.0764,6.50291,NA,25.9549,7.25411,1.32715,14.748,4.07008,8.35279,NA,3.32903,120.101,17.3555,10.7817,NA,25.4511,9.13745,15.7114,19.093,10.0281,14.4355,NA,40.3941,3.95079,15.9889,12.3716,19.3867,11.4359,20.4796,9.36858,12.6112,38.8026,2.39009,24.3524,15.2782,25.0036,41.6966,71.4536,11.9851,NA,17.94745,11.4725,35.9794,8.69421,15.3149,23.3552,46.9494,12.3316,11.7384,30.354,20.5119,20.9443,4.04759,NA,14.1676,7.46692,137.144,5.21367,7.22526,68.0814,13.6484,20.2549,20.1017,6.30858,25.7973
"16",30.2899,27.8349,8.89102,7.49761,NA,NA,NA,6.52232,NA,6.75119,2.63465,25.1592,7.95701,22.4683,28.9351,24.6139,7.83925,21.2545,29.7758,10.3951,3.4812,16.4144,4.62555,11.1294,NA,23.8651,22.8026,25.0933,9.44035,NA,38.1167,16.0222,18.5654,27.3026,13.9497,58.6945,NA,36.9042,13.8047,83.0805,12.2816,24.4344,15.5022,15.5944,14.3498,24.0901,43.9697,18.4819,28.8295,16.4698,39.684,8.25518,73.9462,12.5164,NA,14.41785,13.4163,93.8542,12.588,26.7306,21.6105,45.3363,21.2998,14.9195,28.4603,20.4677,12.9284,3.76888,NA,47.5726,16.7809,50.6959,7.6758,14.8021,83.1694,16.7634,15.0043,23.6676,23.1927,33.1719
"17",27.6775,31.5393,11.0617,32.1023,NA,NA,NA,15.1042,NA,1.20711,6.8918,25.2163,5.17442,20.9713,26.2994,21.5066,9.24362,17.1704,18.836,6.01806,1.2393,15.3952,4.59088,3.38817,NA,7.83532,13.934,18.4878,6.96153,NA,14.0392,7.99511,11.2967,23.3289,8.13398,44.5342,NA,23.5785,1.59166,13.8518,13.7964,21.1279,12.4463,19.3188,10.2493,19.5017,28.5831,9.05121,28.1234,10.0773,11.8141,8.82847,57.8743,11.8855,NA,12.6364,9.04386,NA,8.87547,23.8828,20.8716,12.3045,14.3623,13.9039,22.2319,20.6374,16.6629,3.0942,NA,16.6789,11.527,41.9754,10.7978,10.1298,79.0369,13.2389,12.5515,13.284,17.6306,27.8819
"18",24.4445,23.689,10.7374,28.9907,NA,NA,NA,4.74486,NA,14.3544,3.95492,20.6664,7.28894,23.8677,20.8864,21.2447,8.23143,10.0902,27.2354,4.1565,1.67209,11.6599,4.55016,5.07752,20.381,5.51826,19.1356,17.9129,7.43631,NA,19.5147,13.0608,14.3351,19.143,10.2276,50.857,NA,29.0218,5.14053,21.3863,15.2831,14.0341,15.0423,15.0658,16.4664,14.612,32.0973,5.2008,23.6007,7.93283,34.7818,8.15437,53.6216,10.3111,NA,11.08852,10.7286,NA,6.10416,12.3194,21.6724,26.1717,17.037,19.0472,31.6983,18.7164,11.2951,3.50998,NA,29.2683,15.1648,10.4891,3.8925,9.78854,81.6552,12.6301,7.37745,10.341,7.74145,26.449
"19",29.9294,29.1709,13.7226,1.4041,NA,NA,NA,29.0045,NA,8.78624,12.1617,29.9166,8.51389,21.8996,29.4705,26.7163,10.4561,21.2376,24.9719,10.4296,4.33897,15.5195,5.32446,10.9724,39.7907,11.1924,18.799,21.924,11.5859,NA,34.8953,10.8844,12.0678,16.4911,9.88819,27.1666,NA,110.421,13.0431,22.5358,14.679,14.6544,17.9139,11.6348,20.1642,22.161,39.4593,9.11514,22.3214,17.6759,40.7362,9.77194,74.9591,25.8038,NA,14.1452,3.06569,NA,6.52457,38.3375,20.9637,27.9838,18.5634,21.3134,28.6094,26.2215,18.0509,3.28746,NA,16.4218,21.0928,60.2857,10.7558,9.86062,73.1839,18.7411,12.9404,22.7499,23.908,28.1726
"20",15.463,21.8933,17.2484,19.6208,NA,NA,NA,11.7298,NA,1.67344,10.1026,7.65072,8.3324,23.2907,26.6754,19.1456,8.23502,16.8467,27.6389,10.3067,4.23191,24.8438,2.94388,6.92169,4.06354,2.14691,132.752,15.4648,10.3127,NA,18.6743,16.7859,10.8404,9.51306,10.0389,35.9593,NA,30.6836,6.99226,18.8609,14.3437,14.5828,11.7489,12.0868,12.5832,13.814,33.5242,5.50195,26.4915,7.92415,30.4131,12.1286,22.689,19.1128,NA,9.42383,10.2869,NA,9.60439,30.8139,20.4226,14.7868,10.6449,15.2851,30.6875,25.1414,11.791,NA,NA,28.2023,12.1132,44.1974,11.9121,6.47423,46.0688,14.6715,14.9678,18.9526,16.1355,34.9964
