"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"11",15.8585,17.1337,6.98397,15.7989,NA,NA,NA,21.7527,NA,22.9511,20.088,15.5625,NA,1.83627,27.3924,12.6937,1.85026,NA,21.8085,17.3835,5.61249,2.30664,NA,4.42185,NA,10.2297,32.001,20.2382,1.40938,NA,9.44761,4.42694,9.86462,12.8214,3.68625,3.92871,NA,11.266,4.64065,15.4659,5.96697,13.2685,5.47802,17.5403,18.6945,17.7572,16.4833,8.02266,16.8619,15.9411,16.4768,8.73195,18.9174,19.6731,NA,10.96676,7.9939,26.2623,17.2549,15.7395,14.8044,32.0775,13.4408,6.25018,17.7185,16.4243,7.77636,29.3963,NA,11.601,7.82697,16.6795,9.60333,11.1167,31.7864,11.9383,2.00843,5.28977,7.94785,18.3673
"12",15.4845,20.3492,8.83872,19.023,NA,NA,NA,25.983,NA,21.0777,20.5267,16.5956,NA,3.45816,15.7116,16.3088,NA,13.4752,19.1493,16.7708,3.22086,1.6886,NA,4.13201,NA,8.55716,35.7497,22.4999,1.04137,NA,9.53971,4.04709,12.3047,12.6749,6.43874,5.55975,NA,15.8219,8.29662,20.3165,6.93806,8.73413,5.2199,17.7485,17.1469,18.1667,16.2333,6.72685,18.0301,14.8529,15.0839,10.5828,18.7386,17.284,NA,11.945155,7.4741,27.5271,16.8496,14.351,14.7158,27.3226,15.5327,10.2542,17.9291,14.9902,8.22738,NA,NA,11.0658,10.646,17.8535,15.3323,10.3104,30.5172,6.78592,1.54097,5.84609,7.16035,19.0088
"13",18.9367,20.9369,13.3799,18.3356,NA,NA,NA,19.7092,NA,23.6235,24.9432,16.821,NA,16.6622,18.8026,19.1302,2.859,23.4717,21.5074,16.3572,3.35861,2.03357,NA,6.63688,NA,14.306,26.539,20.8714,1.03396,NA,13.1407,4.52014,12.874,14.7015,9.80573,8.14657,NA,18.4927,3.07814,19.3337,6.72045,14.4971,5.92317,18.969,19.367,19.3554,17.5913,12.0446,17.1867,13.5628,17.6233,11.9822,19.1952,18.3079,NA,17.10065,8.74789,NA,14.2191,15.5144,11.7186,19.5418,6.86015,9.53789,17.0671,19.7963,6.96948,NA,NA,11.8476,12.3307,19.3249,17.2687,4.75026,36.7419,10.5129,9.25694,8.90963,13.6149,11.6628
"14",16.42,19.8696,6.1542,8.99308,NA,NA,NA,23.3815,NA,17.6697,18.4707,16.4549,NA,15.2366,16.2294,14.8161,1.47866,NA,19.8216,16.7488,NA,2.72843,NA,5.73883,NA,10.8966,34.8791,14.568,1.13678,NA,4.17281,4.59098,8.77033,14.4721,5.82548,5.59558,NA,14.3084,4.37488,15.6782,6.68352,13.1543,5.3304,17.0679,18.2419,18.0279,25.6699,5.89071,17.1835,7.89457,15.0807,9.28339,17.6858,18.555,NA,10.923875,6.08022,NA,16.4096,16.0261,11.4459,16.0136,8.00794,9.69674,14.7875,15.5332,7.23264,NA,NA,9.77514,9.89053,15.1165,16.8965,5.38829,28.1087,12.0974,6.78315,6.29759,4.9795,15.905
"15",17.8626,18.3521,10.6356,8.94604,NA,NA,NA,22.4066,NA,17.5827,25.8093,16.8408,NA,14.5658,15.1513,14.384,2.39668,NA,17.8058,15.9489,3.73949,3.10051,NA,5.90821,NA,12.6586,34.1547,15.2891,1.38954,NA,8.6321,4.11186,5.6057,13.7009,8.43251,7.02914,NA,18.6829,5.63206,19.7818,7.54289,8.12177,7.80191,18.4085,17.9882,14.6442,17.2408,7.0243,16.686,16.3274,14.955,6.9266,17.2027,16.202,NA,12.7757,6.99363,20.6673,16.5878,11.9232,14.4016,30.5278,7.63874,7.93753,17.3122,18.7165,10.1103,NA,NA,10.3808,10.0819,25.3561,10.8957,1.58997,27.1854,14.328,8.11386,6.89173,5.40433,19.4474
"16",16.5977,20.1432,9.23409,8.15274,NA,NA,NA,21.8669,NA,19.6021,20.5735,16.9989,1.08764,14.9816,19.3209,18.7131,NA,11.0993,21.0527,15.4982,3.51609,3.11396,NA,5.23184,NA,17.2048,20.2363,18.8427,1.97195,NA,15.5652,7.2298,7.36198,17.8277,12.0421,8.09134,NA,15.3948,11.8561,33.5756,11.1369,13.181,9.30557,20.1561,16.8789,19.091,17.705,11.1119,19.4756,16.037,9.91642,13.9834,20.4473,19.8954,NA,10.417545,7.29078,31.0485,20.1152,17.8337,12.5903,29.2803,8.03548,15.7609,19.1589,19.5189,10.266,NA,NA,12.8914,11.5007,16.7377,14.0997,12.9534,29.0418,17.3077,7.3136,10.9096,7.43717,19.6803
"17",16.8991,16.6553,7.38433,9.86989,NA,NA,NA,23.7618,NA,17.4724,18.4134,15.4068,NA,14.2084,12.1495,13.6593,2.73933,8.98597,14.2526,17.1139,1.87525,3.12767,NA,2.31235,NA,6.52194,14.6746,21.8989,1.1613,NA,3.07994,4.30062,7.29087,11.1927,8.7197,5.77828,NA,12.712,NA,18.8272,8.00178,11.9156,8.64061,16.1427,15.7976,15.4659,12.0425,3.03552,19.2316,13.8977,12.7066,6.41656,18.3045,16.4822,NA,9.106145,6.86368,NA,15.1823,16.5981,12.1947,15.6967,10.6503,16.1725,17.3535,13.6296,7.46213,NA,NA,13.3789,8.98383,14.2986,12.3228,7.62779,26.9212,13.898,6.39339,6.55347,4.0266,15.9002
"18",17.474,19.173,8.66834,12.3983,NA,NA,NA,20.1483,NA,19.6698,7.13133,16.2892,NA,15.4992,15.0671,15.2885,2.77755,10.6161,20.6117,16.2011,3.7641,2.8745,NA,2.50926,1.6016,8.7098,15.9221,20.1179,1.10472,NA,5.15023,3.94553,12.4975,14.7153,9.67933,7.34036,NA,16.1114,8.97798,17.7759,6.03873,13.7248,7.59812,15.7886,19.2563,18.0358,17.1009,3.17944,14.9631,13.1614,10.0737,7.41425,17.0472,20.0081,NA,13.187055,7.41844,NA,7.17287,16.7375,17.0486,16.1012,11.8357,17.2758,17.0878,17.489,6.1767,NA,NA,12.6397,11.0061,13.5323,9.77707,8.49658,21.0717,8.73117,6.06883,9.39726,5.97371,16.7603
"19",17.2939,19.7863,7.71027,12.1773,NA,NA,NA,17.3269,NA,22.6239,9.91851,16.5018,NA,15.3135,18.3185,12.662,1.35821,17.3961,18.0693,18.4224,6.27943,3.0872,NA,4.86366,13.9487,9.81353,16.7744,23.6399,1.22219,NA,15.154,5.15304,8.84787,13.9824,11.3962,9.35435,NA,39.2045,11.3489,17.9579,7.66448,12.5848,14.0971,17.7893,19.9699,16.1972,19.7563,3.99427,18.526,16.8839,14.7739,14.3499,20.2511,20.4041,NA,10.45618,8.54797,NA,17.7538,16.8492,18.9297,19.9388,9.97494,19.064,16.0655,16.697,7.55952,NA,NA,12.4092,12.2167,19.0259,12.084,12.2494,34.2698,15.3856,7.57871,12.0091,8.59942,19.9967
"20",16.6021,18.9614,10.2587,11.6204,NA,NA,NA,15.9142,NA,17.9417,12.5156,14.5922,1.03732,15.3947,16.3792,15.5678,1.30601,8.05124,16.2616,14.7484,5.79876,1.57222,NA,2.95313,5.67369,3.2633,28.982,21.6333,1.13249,NA,8.87332,3.90036,10.224,11.8568,7.04846,8.14676,NA,15.5671,10.0187,15.9626,7.01584,10.8653,8.74047,16.8201,17.913,13.4634,17.3559,5.66275,15.2257,13.9732,9.88351,10.0997,19.9123,14.7623,NA,9.651185,6.3716,NA,15.924,16.1324,13.4926,15.8316,9.24345,17.0679,16.3343,18.8942,5.10202,NA,NA,11.0688,9.25547,17.417,12.5283,6.91705,31.8429,14.7907,5.1713,5.39697,5.34098,20.8372
