0.023087,0.00025788
0.084337,0.061647
0.037239,0.023731
0.016243,0.073987
0.036083,0.045736
0.09782,0
0.02301,0.050771
0.016323,0.084253
0.013577,0.023617
0.037649,0.043886
0.046108,0.083666
0.050846,0.040178
0.050735,0.056695
0.045958,0.010155
0.06036,0.04624
0,0.21948
0.062673,0.066772
0.078642,0
0.044109,0.078166
0.056509,0.052209
0.24809,0.0531
0.18826,0.04213
0.19076,0.064487
0,0.22298
0.033681,0.087726
0.068452,0.065195
0.036486,0.17779
0.099267,0.11698
0.079829,0.064043
0.11221,0.12323
0.079969,0.06583
0.10284,0.08653
0.053615,0.16579
0.33096,0.17808
0.08937,0.21764
0.13845,0.063578
0.033091,0.051433
0.031414,0.029636
0.099398,0.060048
0.062873,0.11446
0.23664,0.11157
0.1813,0.1236
0.14849,0.084278
0.2127,0.037033
0.10794,0.067957
0.07739,0.11455
0.077245,0.1009
0.11997,0.090547
0.0846,0.107
0.045944,0.069808
0.13312,0.061453
0.29915,0
0.10779,0.14316
0.1733,0.13431
0.060851,0.18504
0.10072,0.13528
0.093634,0.18273
0.035847,0.26591
0.15476,0.24637
0.056606,0.17291
0.076655,0.072194
0.071725,0.13058
0.15323,0
0.019942,0.080346
0.12176,0.085532
0.16016,0.17712
0.14955,0.28975
0.11863,0.10551
0.12329,0.14641
0.23924,0.11926
0.09108,0.054565
0.0613,0.18083
0.08774,0.10342
